difficulty,start
0.01,1
0.02,0
0.05,5
0.07,10
0.08,14
0.1,20
0.11,22
0.13,27
0.14,28
0.16,30
0.17,32
0.18,34
0.2,37
0.21,39
0.23,42
0.25,43
0.27,46
0.3,50
0.34,57
0.35,64
0.37,78
0.39,89
0.41,100
0.44,112
0.45,130
0.48,147
0.5,164
0.52,180
0.55,195
0.58,209
0.6,223
0.61,236
0.63,248
0.64,259
0.65,271
0.67,284
0.69,296
0.7,308
0.72,321
0.73,333
0.75,346
0.78,359
0.8,370
0.81,385
0.83,399
0.84,408
0.87,420
0.88,435
0.89,447
0.9,458
0.93,469
0.94,483
0.96,494
0.97,500
0.99,513